iter	Passed	Remaining
0	109	32607
1	161	24105
2	208	20629
3	259	19212
4	317	18747
5	379	18581
6	430	18019
7	475	17369
8	531	17191
9	579	16798
10	632	16616
11	680	16333
12	726	16030
13	778	15910
14	831	15796
15	878	15599
16	929	15472
17	981	15370
18	1029	15229
19	1077	15082
20	1121	14893
21	1169	14783
22	1220	14704
23	1268	14591
24	1317	14488
25	1373	14474
26	1418	14343
27	1472	14305
28	1518	14188
29	1568	14113
30	1627	14121
31	1691	14164
32	1741	14094
33	1796	14054
34	1856	14056
35	1903	13960
36	1952	13875
37	1999	13788
38	2046	13692
39	2091	13593
40	2143	13539
41	2192	13467
42	2238	13379
43	2287	13308
44	2357	13358
45	2421	13373
46	2478	13342
47	2536	13318
48	2591	13274
49	2641	13209
50	2687	13123
51	2735	13048
52	2785	12983
53	2837	12928
54	2886	12856
55	2934	12787
56	2978	12698
57	3027	12630
58	3073	12553
59	3124	12498
60	3196	12524
61	3251	12482
62	3303	12425
63	3359	12389
64	3413	12342
65	3460	12269
66	3511	12211
67	3558	12139
68	3608	12079
69	3659	12024
70	3708	11961
71	3753	11885
72	3801	11822
73	3849	11756
74	3899	11698
75	3944	11625
76	3995	11571
77	4045	11514
78	4095	11458
79	4141	11388
80	4199	11354
81	4257	11320
82	4336	11338
83	4402	11320
84	4463	11289
85	4516	11239
86	4574	11198
87	4624	11141
88	4671	11075
89	4720	11014
90	4769	10953
91	4816	10888
92	4861	10821
93	4908	10756
94	4953	10688
95	5001	10629
96	5051	10572
97	5101	10515
98	5149	10454
99	5195	10390
100	5246	10337
101	5296	10281
102	5376	10283
103	5433	10240
104	5489	10195
105	5544	10148
106	5597	10096
107	5645	10036
108	5688	9967
109	5736	9908
110	5783	9847
111	5828	9783
112	5873	9720
113	5922	9663
114	5971	9605
115	6018	9546
116	6067	9489
117	6130	9455
118	6185	9407
119	6249	9374
120	6314	9340
121	6368	9292
122	6412	9227
123	6463	9173
124	6510	9114
125	6554	9051
126	6604	8997
127	6652	8938
128	6703	8885
129	6749	8825
130	6804	8778
131	6855	8725
132	6902	8666
133	6917	8569
134	6967	8515
135	7012	8456
136	7061	8402
137	7111	8348
138	7162	8295
139	7215	8246
140	7262	8189
141	7322	8148
142	7372	8094
143	7427	8046
144	7475	7991
145	7516	7928
146	7564	7873
147	7611	7817
148	7656	7758
149	7703	7703
150	7752	7649
151	7800	7595
152	7852	7544
153	7900	7490
154	7945	7432
155	7995	7380
156	8045	7327
157	8095	7275
158	8141	7220
159	8190	7166
160	8242	7116
161	8304	7074
162	8358	7025
163	8406	6971
164	8453	6916
165	8498	6860
166	8550	6809
167	8593	6752
168	8643	6700
169	8692	6647
170	8740	6594
171	8788	6540
172	8830	6482
173	8881	6431
174	8931	6379
175	8981	6328
176	9030	6275
177	9078	6222
178	9123	6167
179	9173	6115
180	9224	6064
181	9287	6021
182	9341	5972
183	9390	5919
184	9439	5867
185	9485	5813
186	9538	5763
187	9579	5706
188	9626	5653
189	9674	5601
190	9725	5550
191	9772	5496
192	9821	5445
193	9863	5389
194	9913	5337
195	9959	5284
196	10010	5233
197	10056	5180
198	10106	5129
199	10156	5078
200	10199	5023
201	10251	4973
202	10306	4924
203	10360	4875
204	10408	4823
205	10453	4770
206	10502	4718
207	10551	4666
208	10596	4613
209	10643	4561
210	10692	4509
211	10740	4458
212	10786	4405
213	10835	4354
214	10882	4302
215	10927	4249
216	10975	4197
217	11022	4146
218	11069	4094
219	11118	4043
220	11167	3991
221	11232	3946
222	11285	3896
223	11337	3846
224	11386	3795
225	11437	3744
226	11483	3692
227	11527	3640
228	11580	3590
229	11627	3538
230	11674	3487
231	11722	3435
232	11771	3384
233	11814	3332
234	11863	3281
235	11910	3229
236	11962	3179
237	12009	3128
238	12058	3077
239	12120	3030
240	12173	2980
241	12233	2932
242	12284	2881
243	12337	2831
244	12387	2780
245	12429	2728
246	12477	2677
247	12535	2628
248	12584	2577
249	12633	2526
250	12700	2479
251	12745	2427
252	12800	2378
253	12846	2326
254	12894	2275
255	12940	2224
256	12988	2173
257	13034	2121
258	13085	2071
259	13132	2020
260	13180	1969
261	13243	1920
262	13300	1871
263	13351	1820
264	13401	1770
265	13453	1719
266	13498	1668
267	13551	1618
268	13597	1567
269	13645	1516
270	13695	1465
271	13743	1414
272	13788	1363
273	13832	1312
274	13879	1261
275	13934	1211
276	13977	1160
277	14024	1109
278	14074	1059
279	14119	1008
280	14170	958
281	14226	908
282	14273	857
283	14326	807
284	14379	756
285	14424	706
286	14477	655
287	14528	605
288	14574	554
289	14624	504
290	14677	453
291	14722	403
292	14770	352
293	14818	302
294	14863	251
295	14914	201
296	14957	151
297	15002	100
298	15053	50
299	15096	0
