iter	Passed	Remaining
0	16	3260
1	23	2282
2	29	1931
3	34	1713
4	39	1552
5	47	1532
6	53	1480
7	63	1530
8	69	1474
9	75	1436
10	83	1432
11	96	1516
12	102	1481
13	113	1512
14	120	1484
15	128	1475
16	142	1535
17	148	1500
18	154	1475
19	163	1472
20	169	1445
21	180	1460
22	186	1432
23	193	1421
24	200	1406
25	211	1413
26	218	1402
27	227	1398
28	232	1369
29	237	1343
30	244	1330
31	250	1313
32	255	1293
33	262	1280
34	267	1260
35	273	1246
36	279	1230
37	288	1229
38	293	1211
39	301	1207
40	307	1192
41	314	1184
42	319	1167
43	326	1156
44	331	1141
45	335	1124
46	342	1115
47	347	1100
48	352	1085
49	358	1074
50	363	1062
51	369	1052
52	376	1045
53	384	1038
54	392	1034
55	401	1032
56	408	1025
57	413	1011
58	417	997
59	425	993
60	432	986
61	437	973
62	441	960
63	447	951
64	455	946
65	462	938
66	468	929
67	475	923
68	483	918
69	492	914
70	500	908
71	504	897
72	511	890
73	517	881
74	526	878
75	534	871
76	539	861
77	546	854
78	555	850
79	562	844
80	572	841
81	578	832
82	586	827
83	595	822
84	606	819
85	617	818
86	625	812
87	637	811
88	644	803
89	653	798
90	659	789
91	666	782
92	676	778
93	681	768
94	686	758
95	693	751
96	699	742
97	706	734
98	711	726
99	718	718
100	728	714
101	734	705
102	741	698
103	749	691
104	754	682
105	760	674
106	766	666
107	770	656
108	776	647
109	783	641
110	790	633
111	795	624
112	800	616
113	804	607
114	811	599
115	817	592
116	821	582
117	828	575
118	834	568
119	839	559
120	847	553
121	851	544
122	860	538
123	864	530
124	871	522
125	878	516
126	885	509
127	894	503
128	902	496
129	908	489
130	916	482
131	925	476
132	940	473
133	948	466
134	953	459
135	960	451
136	976	448
137	986	443
138	998	438
139	1004	430
140	1019	426
141	1026	419
142	1033	412
143	1043	405
144	1051	398
145	1059	391
146	1064	383
147	1068	375
148	1073	367
149	1080	360
150	1087	352
151	1094	345
152	1102	338
153	1109	331
154	1117	324
155	1122	316
156	1130	309
157	1137	302
158	1143	294
159	1158	289
160	1182	286
161	1191	279
162	1210	274
163	1216	266
164	1225	259
165	1234	252
166	1244	245
167	1250	238
168	1253	230
169	1259	222
170	1263	214
171	1270	206
172	1276	199
173	1285	192
174	1291	184
175	1297	176
176	1307	169
177	1313	162
178	1319	154
179	1324	147
180	1330	139
181	1336	132
182	1343	124
183	1349	117
184	1356	109
185	1367	102
186	1375	95
187	1388	88
188	1396	81
189	1403	73
190	1411	66
191	1418	59
192	1432	51
193	1441	44
194	1447	37
195	1452	29
196	1458	22
197	1465	14
198	1469	7
199	1473	0
